MatchNo,PlayerA,PlayerB,Result,MMR_A,MMR_B
1,Player10,Player11,TEAM_B_WIN,805,840
2,Player4,Player7,TEAM_A_WIN,840,805
3,Player7,Player1,TEAM_B_WIN,790,840
4,Player2,Player7,TEAM_A_WIN,840,775
5,Player10,Player4,TEAM_B_WIN,790,860
6,Player4,Player8,TEAM_B_WIN,845,840
7,Player0,Player11,TEAM_A_WIN,840,825
8,Player8,Player10,TEAM_A_WIN,860,775
9,Player5,Player10,TEAM_A_WIN,840,760
10,Player5,Player6,TEAM_B_WIN,825,840
11,Player8,Player4,TEAM_B_WIN,845,865
12,Player3,Player8,TEAM_B_WIN,805,865
13,Player11,Player1,TEAM_A_WIN,845,825
14,Player11,Player9,TEAM_B_WIN,830,840
15,Player0,Player2,TEAM_B_WIN,825,860
16,Player7,Player5,TEAM_A_WIN,795,810
17,Player2,Player1,TEAM_A_WIN,880,810
18,Player2,Player0,TEAM_B_WIN,865,845
19,Player3,Player0,TEAM_B_WIN,790,865
20,Player1,Player3,TEAM_A_WIN,830,775
21,Player9,Player3,TEAM_A_WIN,860,760
22,Player9,Player5,TEAM_B_WIN,845,830
23,Player6,Player9,TEAM_A_WIN,860,830
24,Player21,Player23,TEAM_B_WIN,805,840
25,Player19,Player17,TEAM_A_WIN,840,805
26,Player22,Player12,TEAM_B_WIN,805,840
27,Player18,Player20,TEAM_A_WIN,840,805
28,Player19,Player20,TEAM_A_WIN,860,790
29,Player23,Player12,TEAM_B_WIN,825,860
30,Player13,Player18,TEAM_B_WIN,805,860
31,Player20,Player23,TEAM_B_WIN,775,845
32,Player22,Player18,TEAM_A_WIN,825,845
33,Player12,Player16,TEAM_A_WIN,880,805
34,Player19,Player21,TEAM_A_WIN,880,790
35,Player14,Player12,TEAM_A_WIN,840,865
36,Player22,Player15,TEAM_A_WIN,845,805
37,Player14,Player16,TEAM_B_WIN,825,825
38,Player14,Player15,TEAM_A_WIN,845,790
39,Player22,Player13,TEAM_B_WIN,830,825
40,Player17,Player18,TEAM_A_WIN,825,830
41,Player13,Player23,TEAM_A_WIN,845,830
42,Player21,Player20,TEAM_B_WIN,775,795
43,Player19,Player21,TEAM_A_WIN,900,760
44,Player14,Player17,TEAM_B_WIN,830,845
45,Player15,Player17,TEAM_A_WIN,810,830
46,Player16,Player15,TEAM_B_WIN,810,830
47,Player13,Player16,TEAM_A_WIN,865,795
48,Player29,Player28,TEAM_A_WIN,840,805
49,Player25,Player33,TEAM_B_WIN,805,840
50,Player33,Player30,TEAM_A_WIN,860,805
51,Player25,Player29,TEAM_B_WIN,790,860
52,Player33,Player25,TEAM_B_WIN,845,810
53,Player27,Player25,TEAM_A_WIN,840,795
54,Player34,Player28,TEAM_B_WIN,805,825
55,Player33,Player27,TEAM_A_WIN,865,825
56,Player29,Player31,TEAM_A_WIN,880,805
57,Player31,Player35,TEAM_B_WIN,790,840
58,Player35,Player34,TEAM_B_WIN,825,825
59,Player32,Player24,TEAM_A_WIN,840,805
60,Player32,Player26,TEAM_B_WIN,825,840
61,Player32,Player28,TEAM_B_WIN,810,845
62,Player34,Player30,TEAM_B_WIN,810,825
63,Player30,Player31,TEAM_A_WIN,845,775
64,Player29,Player28,TEAM_A_WIN,900,830
65,Player26,Player31,TEAM_B_WIN,825,795
66,Player30,Player27,TEAM_A_WIN,865,810
67,Player26,Player24,TEAM_B_WIN,810,825
68,Player27,Player35,TEAM_B_WIN,795,845
69,Player34,Player24,TEAM_A_WIN,830,810
70,Player24,Player35,TEAM_A_WIN,830,830
71,Player32,Player26,TEAM_B_WIN,795,830
72,Player45,Player36,TEAM_B_WIN,805,840
73,Player45,Player46,TEAM_A_WIN,825,805
74,Player38,Player36,TEAM_A_WIN,840,825
75,Player40,Player42,TEAM_A_WIN,840,805
76,Player36,Player45,TEAM_B_WIN,810,845
77,Player46,Player44,TEAM_A_WIN,825,805
78,Player37,Player47,TEAM_A_WIN,840,805
79,Player42,Player45,TEAM_A_WIN,825,830
80,Player43,Player39,TEAM_A_WIN,840,805
81,Player46,Player42,TEAM_A_WIN,845,810
82,Player46,Player36,TEAM_B_WIN,830,830
83,Player47,Player44,TEAM_A_WIN,825,790
84,Player44,Player37,TEAM_B_WIN,775,860
85,Player47,Player37,TEAM_A_WIN,845,845
86,Player43,Player39,TEAM_A_WIN,860,790
